Frecuencia (Hz)	Nivel (dB)
11498,730469	-30,241394
11541,796875	-31,776630
11584,863281	-30,143122
11627,929688	-31,904819
11670,996094	-30,188488
11714,062500	-31,785505
11757,128906	-30,423965
11800,195313	-31,416866
11843,261719	-30,865101
11886,328125	-30,918806
11929,394531	-31,452095
11972,460938	-30,474951
12015,527344	-31,984800
12058,593750	-30,258072
12101,660156	-32,139641
12144,726563	-30,391586
12187,792969	-31,748116
12230,859375	-30,916746
12273,925781	-31,053377
12316,992188	-31,700535
12360,058594	-30,484354
12403,125000	-32,288761
12446,191406	-30,361616
12489,257813	-32,117249
12532,324219	-30,824657
12575,390625	-31,309233
12618,457031	-31,738533
12661,523438	-30,576857
12704,589844	-32,445797
12747,656250	-30,457739
12790,722656	-32,118656
12833,789063	-31,120708
12876,855469	-31,122416
12919,921875	-32,202278
12962,988281	-30,495346
13006,054688	-32,548382
13049,121094	-30,796391
13092,187500	-31,628899
13135,253906	-31,918938
13178,320313	-30,668713
13221,386719	-32,704617
13264,453125	-30,698971
13307,519531	-31,938038
13350,585938	-31,815233
13393,652344	-30,795891
13436,718750	-32,793625
13479,785156	-30,729897
13522,851563	-32,025497
13565,917969	-31,931511
13608,984375	-30,807398
13652,050781	-32,888000
13695,117188	-30,871134
13738,183594	-31,886738
13781,250000	-32,267696
13824,316406	-30,735981
13867,382813	-32,896858
13910,449219	-31,198227
13953,515625	-31,526484
13996,582031	-32,756424
14039,648438	-30,726620
14082,714844	-32,613842
14125,781250	-31,827305
14168,847656	-31,057274
14211,914063	-33,110203
14254,980469	-31,037916
14298,046875	-31,926119
14341,113281	-32,709480
14384,179688	-30,802406
14427,246094	-32,818974
14470,312500	-31,910007
14513,378906	-31,122641
14556,445313	-33,237396
14599,511719	-31,238869
14642,578125	-31,801231
14685,644531	-33,057056
14728,710938	-30,917086
14771,777344	-32,557465
14814,843750	-32,525543
14857,910156	-30,954294
14900,976563	-33,133759
14944,042969	-31,940363
14987,109375	-31,262165
15030,175781	-33,400681
15073,242188	-31,474319
15116,308594	-31,719994
15159,375000	-33,382339
15202,441406	-31,182789
15245,507813	-32,213531
15288,574219	-33,186081
15331,640625	-31,053898
15374,707031	-32,659309
15417,773438	-32,921497
15460,839844	-31,047052
15503,906250	-33,014557
15546,972656	-32,664055
15590,039063	-31,115345
15633,105469	-33,272392
15676,171875	-32,453835
15719,238281	-31,216887
15762,304688	-33,447784
15805,371094	-32,306656
15848,437500	-31,319452
15891,503906	-33,562988
15934,570313	-32,225536
15977,636719	-31,401302
16020,703125	-33,637466
16063,769531	-32,208813
16106,835938	-31,450245
16149,902344	-33,682751
16192,968750	-32,254871
16236,035156	-31,462425
16279,101563	-33,700668
16322,167969	-32,364006
16365,234375	-31,441664
16408,300781	-33,683441
16451,367188	-32,537937
16494,433594	-31,399702
16537,500000	-33,615204
16580,566406	-32,777042
16623,632813	-31,356955
16666,699219	-33,475636
16709,765625	-33,075222
16752,832031	-31,342962
16795,898438	-33,246696
16838,964844	-33,412491
16882,031250	-31,395420
16925,097656	-32,922932
16968,164063	-33,746758
17011,230469	-31,556368
17054,296875	-32,523300
17097,363281	-34,008850
17140,429688	-31,863827
17183,496094	-32,099186
17226,562500	-34,108177
17269,628906	-32,336555
17312,695313	-31,732965
17355,761719	-33,958302
17398,828125	-32,949966
17441,894531	-31,525753
17484,960938	-33,526154
17528,027344	-33,606697
17571,093750	-31,576832
17614,160156	-32,882984
17657,226563	-34,121311
17700,292969	-31,954512
17743,359375	-32,207417
17786,425781	-34,260021
17829,492188	-32,651173
17872,558594	-31,726654
17915,625000	-33,876167
17958,691406	-33,520222
18001,757813	-31,643158
18044,824219	-33,080933
18087,890625	-34,229649
18130,957031	-32,071213
18174,023438	-32,233582
18217,089844	-34,347336
18260,156250	-32,956799
18303,222656	-31,737293
18346,289063	-33,700733
18389,355469	-33,973927
18432,421875	-31,871662
18475,488281	-32,676277
18518,554688	-34,497269
18561,621094	-32,682671
18604,687500	-31,908091
18647,753906	-34,014977
18690,820313	-33,848412
18733,886719	-31,868361
18776,953125	-32,885765
18820,019531	-34,577709
18863,085938	-32,682495
18906,152344	-31,988888
18949,218750	-34,082432
18992,285156	-33,962345
19035,351563	-31,964062
19078,417969	-32,831543
19121,484375	-34,670143
19164,550781	-32,934597
19207,617188	-31,966780
19250,683594	-33,898159
19293,750000	-34,304752
19336,816406	-32,193985
19379,882813	-32,552937
19422,949219	-34,651264
19466,015625	-33,462296
