Frecuencia (Hz)	Nivel (dB)
11498,730469	-43,506588
11541,796875	-43,539837
11584,863281	-43,422729
11627,929688	-43,382996
11670,996094	-43,649471
11714,062500	-43,882778
11757,128906	-43,681538
11800,195313	-43,536190
11843,261719	-43,611317
11886,328125	-43,437252
11929,394531	-43,399654
11972,460938	-43,619183
12015,527344	-43,585163
12058,593750	-43,599094
12101,660156	-43,543713
12144,726563	-43,652683
12187,792969	-43,725655
12230,859375	-43,830345
12273,925781	-43,836349
12316,992188	-43,491180
12360,058594	-43,477734
12403,125000	-43,758568
12446,191406	-43,644775
12489,257813	-43,866016
12532,324219	-44,112614
12575,390625	-43,896610
12618,457031	-43,932907
12661,523438	-43,767784
12704,589844	-43,683712
12747,656250	-43,818623
12790,722656	-44,039204
12833,789063	-44,160454
12876,855469	-43,988712
12919,921875	-43,790554
12962,988281	-43,679806
13006,054688	-43,909527
13049,121094	-43,933117
13092,187500	-44,094803
13135,253906	-43,873718
13178,320313	-43,584721
13221,386719	-43,726196
13264,453125	-44,015781
13307,519531	-43,961521
13350,585938	-43,897732
13393,652344	-44,094444
13436,718750	-43,904739
13479,785156	-43,951923
13522,851563	-44,122066
13565,917969	-43,825779
13608,984375	-43,847229
13652,050781	-43,825302
13695,117188	-43,758392
13738,183594	-43,671280
13781,250000	-44,192230
13824,316406	-44,109951
13867,382813	-43,826801
13910,449219	-43,933029
13953,515625	-43,898796
13996,582031	-43,868256
14039,648438	-44,036488
14082,714844	-44,062489
14125,781250	-44,177719
14168,847656	-44,370525
14211,914063	-44,170715
14254,980469	-44,002213
14298,046875	-44,076767
14341,113281	-44,158512
14384,179688	-44,296524
14427,246094	-44,367168
14470,312500	-44,102612
14513,378906	-44,325706
14556,445313	-44,331085
14599,511719	-44,197178
14642,578125	-44,098442
14685,644531	-44,343594
14728,710938	-44,037064
14771,777344	-44,181820
14814,843750	-44,554642
14857,910156	-44,379429
14900,976563	-44,066654
14944,042969	-44,124638
14987,109375	-44,139732
15030,175781	-44,135857
15073,242188	-44,115139
15116,308594	-44,203743
15159,375000	-44,249924
15202,441406	-44,297443
15245,507813	-44,526546
15288,574219	-44,393963
15331,640625	-44,406948
15374,707031	-44,343960
15417,773438	-44,284763
15460,839844	-44,230545
15503,906250	-44,153316
15546,972656	-44,439571
15590,039063	-44,435497
15633,105469	-44,028015
15676,171875	-44,039673
15719,238281	-44,117107
15762,304688	-44,246868
15805,371094	-44,353596
15848,437500	-44,429672
15891,503906	-44,209808
15934,570313	-44,383011
15977,636719	-44,317188
16020,703125	-44,311657
16063,769531	-44,364311
16106,835938	-44,095013
16149,902344	-44,167809
16192,968750	-44,029972
16236,035156	-43,983513
16279,101563	-44,249031
16322,167969	-44,400131
16365,234375	-44,275383
16408,300781	-44,194099
16451,367188	-44,482395
16494,433594	-44,593826
16537,500000	-44,478195
16580,566406	-44,605938
16623,632813	-44,624325
16666,699219	-44,558296
16709,765625	-44,518703
16752,832031	-44,406719
16795,898438	-44,452438
16838,964844	-44,527264
16882,031250	-44,624294
16925,097656	-44,326752
16968,164063	-44,639118
17011,230469	-44,704952
17054,296875	-44,295422
17097,363281	-44,371059
17140,429688	-44,293076
17183,496094	-44,379353
17226,562500	-44,668842
17269,628906	-44,464111
17312,695313	-44,569031
17355,761719	-44,592678
17398,828125	-44,323036
17441,894531	-44,349133
17484,960938	-44,472492
17528,027344	-44,462948
17571,093750	-44,560143
17614,160156	-44,413082
17657,226563	-44,148716
17700,292969	-44,362282
17743,359375	-44,287918
17786,425781	-44,370651
17829,492188	-44,376602
17872,558594	-44,374973
17915,625000	-44,348152
17958,691406	-44,454208
18001,757813	-44,370667
18044,824219	-44,377167
18087,890625	-44,303356
18130,957031	-44,366104
18174,023438	-44,685829
18217,089844	-44,642315
18260,156250	-44,538151
18303,222656	-44,379574
18346,289063	-44,356190
18389,355469	-44,434208
18432,421875	-44,699219
18475,488281	-44,788002
18518,554688	-44,426037
18561,621094	-44,147869
18604,687500	-44,414097
18647,753906	-44,531319
18690,820313	-44,586697
18733,886719	-44,429951
18776,953125	-44,370464
18820,019531	-44,454945
18863,085938	-44,427402
18906,152344	-44,508701
18949,218750	-44,490891
18992,285156	-44,405800
19035,351563	-44,592945
19078,417969	-44,496964
19121,484375	-44,673782
19164,550781	-44,619579
19207,617188	-44,569702
19250,683594	-44,704014
19293,750000	-44,765633
19336,816406	-44,889977
19379,882813	-44,799145
19422,949219	-44,877666
19466,015625	-44,707451
19509,082031	-44,446068
19552,148438	-44,392529
19595,214844	-44,433094
19638,281250	-44,412842
19681,347656	-44,529430
19724,414063	-44,640858
19767,480469	-44,457413
19810,546875	-44,533596
19853,613281	-44,547302
19896,679688	-44,543644
19939,746094	-44,473858
19982,812500	-44,557259
20025,878906	-44,566502
20068,945313	-44,268646
20112,011719	-44,346607
20155,078125	-44,417805
20198,144531	-44,655613
20241,210938	-44,641327
20284,277344	-44,648277
20327,343750	-45,039261
20370,410156	-44,661339
20413,476563	-44,592403
20456,542969	-44,517059
20499,609375	-44,497650
20542,675781	-44,583469
20585,742188	-44,871964
20628,808594	-45,038742
20671,875000	-45,000820
20714,941406	-44,793926
20758,007813	-44,622978
20801,074219	-44,656948
20844,140625	-44,547123
20887,207031	-44,563869
20930,273438	-44,373802
20973,339844	-44,427765
21016,406250	-44,505756
21059,472656	-44,667549
21102,539063	-44,823250
21145,605469	-44,611664
21188,671875	-44,322575
21231,738281	-44,454056
21274,804688	-44,628956
21317,871094	-44,515633
21360,937500	-44,445061
21404,003906	-44,622578
21447,070313	-44,722786
21490,136719	-44,771450
21533,203125	-44,424324
21576,269531	-44,483398
21619,335938	-44,429047
21662,402344	-44,379333
21705,468750	-44,494408
21748,535156	-44,430603
21791,601563	-44,631908
21834,667969	-44,431950
21877,734375	-44,708759
21920,800781	-44,522541
21963,867188	-44,496685
22006,933594	-44,583710
